page_id,source,base,n_invisible,n_wrappers,n_candidate_edits,tokens_base,status,accepted,reduction_pct,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical
we00028,webcode2m,level1,14.0,2.0,16.0,2115.0,ok,True,7.565,25.0,7.0,7.0,0.0,9.0,160.0,0.0,qwen2.5-vl,True,2115.0,1955.0,True,918.0,917.0,1.0,True,1.0,True,36.0,36.0,0.9997,0.5,0.0,True,0.0,0.013,True,1.0,True,False
we00029,webcode2m,original,16.0,36.0,52.0,3422.0,ok,True,8.416,40.0,26.0,16.0,10.0,4.0,207.0,105.0,qwen2.5-vl,True,3422.0,3134.0,True,2223.0,2223.0,0.0,True,1.0,True,78.0,78.0,0.9987,1.0,0.0,True,0.0,0.879,True,1.0,True,True
we00030,webcode2m,original,24.0,8.0,32.0,4391.0,ok,True,71.624,27.0,28.0,21.0,7.0,4.0,3092.0,53.0,qwen2.5-vl,True,4391.0,1246.0,True,1767.0,1767.0,0.0,True,1.0,True,47.0,47.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00031,webcode2m,level1,10.0,7.0,17.0,7496.0,ok,True,4.416,27.0,7.0,7.0,0.0,10.0,331.0,0.0,qwen2.5-vl,True,7496.0,7165.0,True,2970.0,2970.0,0.0,True,1.0,True,29.0,29.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00032,webcode2m,level1,15.0,6.0,21.0,2272.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00033,webcode2m,level1,129.0,20.0,149.0,4517.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00034,webcode2m,original,32.0,16.0,48.0,2835.0,ok,True,0.705,40.0,4.0,4.0,0.0,12.0,20.0,0.0,qwen2.5-vl,True,2835.0,2815.0,True,1998.0,1998.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00035,webcode2m,original,10.0,0.0,10.0,2717.0,ok,True,3.865,21.0,5.0,5.0,0.0,4.0,105.0,0.0,qwen2.5-vl,True,2717.0,2612.0,True,800.0,800.0,0.0,True,1.0,True,33.0,33.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00036,webcode2m,level1,9.0,27.0,36.0,2369.0,ok,True,0.211,40.0,9.0,9.0,0.0,18.0,5.0,0.0,qwen2.5-vl,True,2369.0,2364.0,True,1908.0,1908.0,0.0,True,0.99898,True,84.0,84.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00037,webcode2m,level1,37.0,11.0,48.0,3104.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00038,webcode2m,level1,14.0,6.0,20.0,2218.0,all_edits_rejected,False,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00039,webcode2m,original,2.0,2.0,4.0,3022.0,ok,True,0.563,6.0,3.0,2.0,1.0,1.0,10.0,7.0,qwen2.5-vl,True,3022.0,3005.0,True,2188.0,2188.0,0.0,True,1.0,True,14.0,14.0,0.9998,0.89,0.0,True,0.003,0.009,True,0.98953,True,False
we00040,webcode2m,original,23.0,30.0,53.0,3075.0,ok,True,1.691,40.0,6.0,6.0,0.0,9.0,52.0,0.0,qwen2.5-vl,True,3075.0,3023.0,True,2636.0,2636.0,0.0,True,1.0,True,97.0,97.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00041,webcode2m,level1,16.0,26.0,42.0,3717.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00042,webcode2m,original,10.0,57.0,67.0,3565.0,ok,True,10.154,40.0,26.0,7.0,19.0,9.0,109.0,253.0,qwen2.5-vl,True,3565.0,3203.0,True,1991.0,1991.0,0.0,True,1.0,True,72.0,72.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00043,webcode2m,level1,14.0,9.0,23.0,1472.0,ok,True,1.834,40.0,2.0,2.0,0.0,19.0,27.0,0.0,qwen2.5-vl,True,1472.0,1445.0,True,1040.0,1040.0,0.0,True,1.0,True,33.0,33.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
