page_id,base,base_path,tokens_page,chars_page,n_style_blocks,chars_css,tokens_css,chars_selector_trim,tokens_selector_trim,chars_unmatched,tokens_unmatched,status,n_rules,n_style_rules,n_selectors_asked,n_selectors_unmatched,n_selectors_invalid,css_candidate_chars,css_candidate_tokens,css_candidate_pct_of_css_chars,proposed_tokens_saved,proposed_pct_of_page_tokens,chars_dead_props,tokens_dead_props
we00065,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00065.html,3097,8405,1,4605,1446,218.0,85.0,1169.0,357.0,ok,62.0,62.0,89.0,45.0,0.0,1387.0,442.0,30.12,442.0,14.27,,
we00066,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00066.html,954,3104,1,1213,419,245.0,100.0,66.0,31.0,ok,19.0,19.0,73.0,55.0,0.0,311.0,131.0,25.64,131.0,13.73,,
we00067,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00067.html,3691,10075,1,3992,1465,421.0,140.0,167.0,58.0,ok,56.0,56.0,122.0,63.0,0.0,588.0,198.0,14.73,198.0,5.36,,
we00068,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00068.html,3200,11527,1,6334,1890,429.0,150.0,2061.0,605.0,ok,86.0,86.0,145.0,84.0,0.0,2803.0,844.0,44.25,844.0,26.38,313.0,89.0
we00069,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00069.html,2494,8268,1,1010,319,,,,,ok,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
we00070,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00070.html,2392,9802,1,653,182,,,37.0,14.0,ok,8.0,8.0,8.0,1.0,0.0,37.0,14.0,5.67,14.0,0.59,,
we00071,original,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00071.html,2895,10417,1,820,265,,,,,"page_error: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""file:///C:/Users/Mahin/Thesis/render_validated_starter_kit/starter_kit/data/raw_webcode2m/we00071.html"", waiting until ""load""
",,,,,,,,,,,,
we00072,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00072.html,2306,8791,1,3948,1098,394.0,109.0,2005.0,553.0,ok,53.0,53.0,89.0,63.0,0.0,2464.0,681.0,62.41,681.0,29.53,65.0,19.0
we00073,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00073.html,3642,13763,1,4448,1273,86.0,51.0,820.0,231.0,ok,52.0,52.0,55.0,16.0,0.0,920.0,285.0,20.68,285.0,7.83,14.0,3.0
we00074,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00074.html,2588,8977,1,1237,507,,,,,ok,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
we00075,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00075.html,918,3200,1,528,189,,,,,ok,8.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
we00076,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00076.html,2638,10258,1,3873,1084,462.0,122.0,1161.0,340.0,ok,53.0,53.0,85.0,48.0,0.0,1688.0,481.0,43.58,481.0,18.23,65.0,19.0
we00077,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00077.html,2787,8246,1,1614,552,6.0,4.0,,,ok,28.0,28.0,33.0,2.0,0.0,6.0,4.0,0.37,4.0,0.14,,
we00078,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00078.html,1807,6349,1,642,252,,,,,ok,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
we00079,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00079.html,1695,5738,1,2929,946,197.0,46.0,845.0,243.0,ok,40.0,40.0,57.0,26.0,0.0,1095.0,303.0,37.38,303.0,17.88,53.0,14.0
we00080,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00080.html,2100,7071,1,907,294,114.0,28.0,53.0,14.0,ok,12.0,12.0,21.0,8.0,0.0,167.0,42.0,18.41,42.0,2.0,,
we00081,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00081.html,2465,6707,1,2505,866,225.0,62.0,68.0,20.0,ok,29.0,29.0,49.0,21.0,0.0,293.0,82.0,11.7,82.0,3.33,,
we00082,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00082.html,1455,4650,1,982,331,9.0,6.0,,,ok,13.0,13.0,21.0,3.0,0.0,9.0,6.0,0.92,6.0,0.41,,
we00083,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00083.html,4176,14353,1,4903,1457,629.0,194.0,680.0,180.0,ok,70.0,70.0,136.0,73.0,0.0,1536.0,444.0,31.33,444.0,10.63,227.0,70.0
we00084,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00084.html,2465,6707,1,2505,866,225.0,62.0,68.0,20.0,ok,29.0,29.0,49.0,21.0,0.0,293.0,82.0,11.7,82.0,3.33,,
