page_id,source,base,stamp_roundtrip_identical,n_invisible,n_wrappers,n_candidate_edits,tokens_base,tokens_original,prescreen_ran,n_prescreen_dropped,status,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted
we00062,webcode2m,level1,,1.0,5.0,6.0,1618.0,1834.0,True,2.0,all_edits_rejected,7.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,False
we00063,webcode2m,level1,,8.0,7.0,15.0,5948.0,7104.0,True,0.0,ok,1.0,15.0,8.0,7.0,0.0,489.0,51.0,qwen2.5-vl,True,5948.0,5410.0,9.045,True,1538.0,1538.0,0.0,True,1.0,True,54.0,54.0,1.0,0.0,0.0,True,0.0,0.0,True,,True,True,True
we00064,webcode2m,level1,,1.0,3.0,4.0,3547.0,3941.0,True,0.0,all_edits_rejected,7.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,False
we00065,webcode2m,level1,,16.0,8.0,24.0,3568.0,4230.0,True,1.0,ok,1.0,23.0,16.0,7.0,0.0,422.0,19.0,qwen2.5-vl,True,3568.0,3097.0,13.201,True,1527.0,1527.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00066,webcode2m,level1,,6.0,19.0,25.0,1158.0,1387.0,True,1.0,ok,4.0,12.0,6.0,6.0,0.0,146.0,32.0,qwen2.5-vl,True,1158.0,954.0,17.617,True,1627.0,1627.0,0.0,True,1.0,True,13.0,13.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00067,webcode2m,level1,,12.0,6.0,18.0,3803.0,4451.0,False,0.0,ok,21.0,11.0,6.0,5.0,7.0,75.0,8.0,qwen2.5-vl,True,3803.0,3691.0,2.945,True,2165.0,2165.0,0.0,True,0.98289,True,92.0,88.0,1.0,0.0,4.0,True,0.0,0.0,True,1.0,True,True,True
we00068,webcode2m,level1,,10.0,8.0,18.0,3818.0,4852.0,False,0.0,ok,12.0,17.0,10.0,7.0,1.0,558.0,57.0,qwen2.5-vl,True,3818.0,3200.0,16.186,True,800.0,800.0,0.0,True,1.0,True,27.0,27.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00069,webcode2m,level1,,10.0,6.0,16.0,2599.0,2884.0,True,0.0,ok,1.0,16.0,10.0,6.0,0.0,57.0,-5.0,qwen2.5-vl,True,2599.0,2494.0,4.04,True,1051.0,1051.0,0.0,True,1.0,True,62.0,62.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00070,webcode2m,level1,,9.0,19.0,28.0,2685.0,2909.0,True,1.0,ok,1.0,27.0,9.0,18.0,0.0,90.0,191.0,qwen2.5-vl,True,2685.0,2392.0,10.912,True,1710.0,1710.0,0.0,True,1.0,True,48.0,48.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00071,webcode2m,original,,,,,,,,,"page_error: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""file:///C:/Users/Mahin/Thesis/render_validated_starter_kit/starter_kit/data/raw_webcode2m/we00071.html"", waiting until ""load""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00072,webcode2m,level1,,13.0,9.0,22.0,3453.0,4006.0,True,0.0,ok,16.0,21.0,13.0,8.0,0.0,1083.0,64.0,qwen2.5-vl,True,3453.0,2306.0,33.217,True,1053.0,1053.0,0.0,True,0.99563,True,21.0,19.0,1.0,0.0,2.0,True,0.0,0.0,True,1.0,True,True,True
we00073,webcode2m,level1,,4.0,10.0,14.0,4121.0,4570.0,True,0.0,ok,1.0,14.0,4.0,10.0,0.0,190.0,293.0,qwen2.5-vl,True,4121.0,3642.0,11.623,True,1634.0,1634.0,0.0,True,0.99923,True,49.0,48.0,1.0,0.0,1.0,True,0.0,0.0,True,1.0,True,True,True
we00074,webcode2m,level1,,12.0,12.0,24.0,2688.0,2923.0,True,9.0,ok,1.0,15.0,7.0,8.0,0.0,65.0,47.0,qwen2.5-vl,True,2688.0,2588.0,3.72,True,1942.0,1942.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00075,webcode2m,level1,,0.0,0.0,0.0,918.0,1136.0,,,no_candidates,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,False
we00076,webcode2m,level1,,6.0,8.0,14.0,2913.0,3386.0,True,0.0,ok,13.0,13.0,6.0,7.0,0.0,219.0,56.0,qwen2.5-vl,True,2913.0,2638.0,9.44,True,1298.0,1298.0,0.0,True,0.99641,True,26.0,24.0,1.0,0.0,2.0,True,0.0,0.0,True,1.0,True,True,True
we00077,webcode2m,level1,,44.0,91.0,135.0,4066.0,4958.0,True,5.0,ok,1.0,130.0,42.0,88.0,0.0,884.0,809.0,qwen2.5-vl,True,4066.0,2787.0,31.456,True,1134.0,1134.0,0.0,True,1.0,True,44.0,44.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00078,webcode2m,original,True,2.0,0.0,2.0,1812.0,1812.0,True,1.0,ok,1.0,1.0,1.0,0.0,0.0,5.0,0.0,qwen2.5-vl,True,1812.0,1807.0,0.276,True,1265.0,1265.0,0.0,True,1.0,True,35.0,35.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
